[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.325 s - in no.nav.foreldrepenger.behandling.impl.FagsakTjenesteTest
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.136 s - in no.nav.foreldrepenger.behandling.impl.FinnAnsvarligSaksbehandlerTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.415 s - in no.nav.foreldrepenger.behandling.DekningsgradTjenesteTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.072 s - in no.nav.foreldrepenger.behandling.kriterie.impl.BehandlingsfristUtløptTjenesteImplTest
[INFO] Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.behandling.fp.UtledVedtakResultatTypeTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.behandling.es.UtledVedtakResultatTypeTest
[INFO] Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.514 s - in no.nav.foreldrepenger.behandling.RelatertBehandlingTjenesteImplTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.003 s - in no.nav.foreldrepenger.historikk.HistorikkInnslagTekstBuilderTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.267 s - in no.nav.foreldrepenger.historikk.kafka.LagreHistorikkTaskTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.054 s - in no.nav.foreldrepenger.historikk.HistorikkRepositoryImplTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 5.942 s - in no.nav.foreldrepenger.domene.person.verge.VergeOppdatererTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.domene.person.tps.TpsFødselUtilTest
[INFO] Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.021 s - in no.nav.foreldrepenger.domene.person.tps.TpsTjenesteTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.154 s - in no.nav.foreldrepenger.domene.person.tps.TpsFamilieTjenesteTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.025 s - in no.nav.foreldrepenger.domene.person.tps.PersoninfoAdapterTest
[INFO] Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.037 s - in no.nav.foreldrepenger.domene.person.tps.TpsAdapterImplTest
[INFO] Tests run: 17, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.309 s - in no.nav.foreldrepenger.domene.person.tps.TpsOversetterTest
[INFO] Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.004 s - in no.nav.foreldrepenger.domene.personopplysning.StatsborgerskapEndringIdentifisererTest
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.domene.personopplysning.PersonstatusEndringIdentifisererTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.domene.personopplysning.SivilstandEndringIdentifisererTest
[INFO] Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.domene.personopplysning.PersonAdresseEndringIdentifisererTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.102 s - in no.nav.foreldrepenger.domene.personopplysning.PersonopplysningTjenesteTest
[INFO] Tests run: 9, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.004 s - in no.nav.foreldrepenger.domene.personopplysning.PersonopplysningGrunnlagDiffTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 4.673 s - in no.nav.foreldrepenger.domene.arbeidsgiver.VirksomhetTjenesteImplTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.domene.arbeidsforhold.impl.UtledOppstartsdatoNærmestStpFraRelevanteYrkesaktiviteterTest
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.domene.arbeidsforhold.impl.UtledBrukAvPermisjonForWrapperTest
[INFO] Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.012 s - in no.nav.foreldrepenger.domene.arbeidsforhold.impl.EndringIArbeidsforholdIdTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.01 s - in no.nav.foreldrepenger.domene.arbeidsforhold.impl.LeggTilResultatTest
[INFO] Tests run: 15, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.339 s - in no.nav.foreldrepenger.domene.arbeidsforhold.impl.ArbeidsforholdAdministrasjonTjenesteTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.domene.arbeidsforhold.impl.UtledStillingsprosentFraYrkesaktivitetMedOppstartsdatoNærmestStpTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.289 s - in no.nav.foreldrepenger.domene.arbeidsforhold.impl.VurderArbeidsforholdTjenesteImplTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.127 s - in no.nav.foreldrepenger.domene.arbeidsforhold.impl.UtledRelevanteYrkesaktiviteterForStillingsprosentTest
[INFO] Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.011 s - in no.nav.foreldrepenger.domene.arbeidsforhold.impl.UtledAnsettelsesperiodeTest
[INFO] Tests run: 10, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.254 s - in no.nav.foreldrepenger.domene.arbeidsforhold.impl.VurderPermisjonTjenesteTest
[INFO] Tests run: 9, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s - in no.nav.foreldrepenger.domene.arbeidsforhold.impl.UtledPermisjonSomFørerTilAksjonspunktTest
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.domene.arbeidsforhold.impl.UtledStillingsprosentTest
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.198 s - in no.nav.foreldrepenger.domene.arbeidsforhold.impl.PåkrevdeInntektsmeldingerTjenesteTest
[INFO] Tests run: 9, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.199 s - in no.nav.foreldrepenger.domene.arbeidsforhold.fp.InntektsmeldingTjenesteImplTest
[INFO] Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.177 s - in no.nav.foreldrepenger.domene.arbeidsforhold.aksjonspunkt.ArbeidsforholdHistorikkinnslagTjenesteTest
[INFO] Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.215 s - in no.nav.foreldrepenger.domene.arbeidsforhold.aksjonspunkt.AvklarArbeidsforholdOppdatererTest
[INFO] Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s - in no.nav.foreldrepenger.domene.arbeidsforhold.aksjonspunkt.UtledKoderForHistorikkinnslagdelerForArbeidsforholdUtenInnteksmeldingTest
[INFO] Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s - in no.nav.foreldrepenger.domene.arbeidsforhold.aksjonspunkt.UtledOmHistorikkinnslagForInntektsmeldingErNødvendigTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s - in no.nav.foreldrepenger.domene.arbeidsforhold.aksjonspunkt.UtledBekreftetPermisjonStatusTest
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s - in no.nav.foreldrepenger.domene.arbeidsforhold.aksjonspunkt.UtledKoderForHistorikkinnslagdelerForNyttEllerErstattetArbeidsforholdTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.domene.arbeidsforhold.aksjonspunkt.UtledBekreftetPermisjonTest
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.domene.arbeidsforhold.aksjonspunkt.ArbeidsgiverHistorikkinnslagTjenesteImplTest
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s - in no.nav.foreldrepenger.domene.arbeidsforhold.aksjonspunkt.UtledKoderForHistorikkinnslagdelerForPermisjonTest
[INFO] Tests run: 10, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s - in no.nav.foreldrepenger.domene.arbeidsforhold.aksjonspunkt.ArbeidsforholdHandlingTypeUtlederTest
[INFO] Tests run: 24, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.02 s - in no.nav.foreldrepenger.domene.arbeidsforhold.svp.UtbetalingsgradBeregnerTest
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.2 s - in no.nav.foreldrepenger.domene.arbeidsforhold.svp.BeregnTilrettleggingsperioderTjenesteImplTest
[INFO] Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.domene.arbeidsforhold.svp.FinnAktivitetsavtalerForUtbetalingsgradTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.014 s - in no.nav.foreldrepenger.domene.arbeidsforhold.svp.InntektsmeldingTjenesteImplTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.domene.arbeidsforhold.rest.TilgrensendeYtelserDtoTest
[INFO] Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s - in no.nav.foreldrepenger.domene.arbeidsforhold.rest.BehandlingRelaterteYtelserMapperTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s - in no.nav.foreldrepenger.domene.abakus.mapping.MapRefusjonskravDatoerTest
